Food,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
Cherries,100,38.9,0.8,0.4,0.0,0.8,10.1,Fruits
"Fresh, raw",100,57.0,0.9,0.0,0.0,0.7,13.2,Fruits
Cranberry sauce sweetened,100,191.3,0.0,0.0,0.0,0.4,51.3,Fruits
Dates,100,283.7,2.2,0.0,0.0,2.0,75.3,Fruits
Figs,100,285.7,4.8,0.0,0.0,4.5,71.4,Fruits
"Fresh, raw figs",100,78.9,1.8,0.0,0.0,0.9,19.3,Fruits
figs Canned with syrup ,100,113.0,0.9,0.0,0.0,0.9,27.8,Fruits
"Fruit cocktail, canned",100,76.2,0.4,0.0,0.0,0.2,19.5,Fruits
Grapefruit sections,100,68.0,0.4,0.0,0.0,0.2,17.6,Fruits
"Grapefruit, fresh, 5"" diameter",100,17.5,0.4,0.0,0.0,0.4,4.9,Fruits
Grapefruit juice,100,40.0,0.4,0.0,0.0,0.4,9.6,Fruits
Grapes,100,45.8,0.7,0.0,0.0,0.5,10.5,Fruits
"European, as Muscat, Tokay",100,62.5,0.6,0.0,0.0,0.4,16.3,Fruits
Grape juice,100,64.0,0.4,0.0,0.0,0.0,16.8,Fruits
Lemon juice,100,24.0,0.0,0.0,0.0,0.0,8.0,Fruits
Lemonade concentratefrozen,100,195.5,0.0,0.0,0.0,0.0,50.9,Fruits
Limeade concentrate frozen,100,185.8,0.0,0.0,0.0,0.0,49.5,Fruits
Olives large,100,110.8,1.5,15.4,13.8,1.2,4.6,Fruits
OlivesRipe,100,161.5,1.5,20.0,18.5,1.5,1.5,Fruits
"Oranges 3"" diameter",100,33.3,1.1,0.0,0.0,0.6,8.9,Fruits
Orange juice,100,44.8,0.8,0.0,0.0,0.1,10.0,Fruits
Frozen ,100,157.1,1.0,0.0,0.0,0.2,37.1,Fruits
Papaya,100,37.5,0.5,0.0,0.0,0.9,9.0,Fruits
Peaches,100,77.8,0.4,0.0,0.0,0.4,20.2,Fruits
"Fresh, raw",100,30.7,0.9,0.0,0.0,0.5,8.8,Fruits
Pears,100,76.5,0.4,0.0,0.0,0.8,19.6,Fruits
"Raw, 3 by 2V",100,54.9,0.5,0.5,0.0,1.1,13.7,Fruits
Persimmons,100,60.0,0.8,0.0,0.0,1.6,16.0,Fruits
Pineapple,100,77.9,0.0,0.0,0.0,0.3,21.3,Fruits
Pineapple Crushed,100,78.8,0.4,0.0,0.0,0.3,21.2,Fruits
"Raw, diced",100,53.6,0.7,0.0,0.0,0.4,13.6,Fruits
Pineapple juice,100,48.0,0.4,0.0,0.0,0.1,12.8,Fruits
Plums,100,72.3,0.4,0.0,0.0,0.3,19.5,Fruits
"Raw, 2"" diameter",100,50.0,0.0,0.0,0.0,0.3,11.7,Fruits
Prunes,100,111.1,1.1,0.4,0.0,0.3,30.0,Fruits
Prune juice,100,70.8,0.4,0.0,0.0,0.3,18.8,Fruits
Raisins,100,261.4,2.3,0.0,0.0,0.8,93.2,Fruits
Raspberries,100,100.0,0.0,0.0,0.0,2.0,25.0,Fruits
"Raw, red",100,57.0,0.0,0.0,0.0,5.0,14.0,Fruits
Rhubarb sweetened,100,142.6,0.4,0.0,0.0,0.7,36.3,Fruits
Strawberries,100,106.6,0.4,0.0,0.0,0.6,26.4,Fruits
Raw,100,36.2,0.0,0.0,0.0,1.3,8.1,Fruits
Tangerines,100,35.1,0.9,0.0,0.0,0.9,8.8,Fruits
Watermelon,100,13.0,0.2,0.1,0.0,0.4,3.1,Fruits
Biscuits,100,342.1,7.9,10.5,7.9,0.0,47.4,"Breads, cereals, fastfood,grains"
Bran flakes,100,468.0,12.0,0.0,0.0,0.4,128.0,"Breads, cereals, fastfood,grains"
"Bread, cracked wheat",100,260.9,8.7,4.3,4.3,0.4,52.2,"Breads, cereals, fastfood,grains"
Rye,100,239.1,8.7,4.3,4.3,0.4,52.2,"Breads, cereals, fastfood,grains"
"White, 20 slices, or",100,269.8,8.6,3.3,2.6,2.0,50.4,"Breads, cereals, fastfood,grains"
Whole-wheat,100,242.3,10.6,3.1,2.2,14.9,47.6,"Breads, cereals, fastfood,grains"
Whole-wheat,100,239.1,8.7,4.3,0.0,1.3,47.8,"Breads, cereals, fastfood,grains"
Corn bread ground meal,100,200.0,6.0,8.0,4.0,0.6,30.0,"Breads, cereals, fastfood,grains"
Cornflakes,100,440.0,8.0,0.0,0.0,0.4,100.0,"Breads, cereals, fastfood,grains"
Corn grits cooked,100,49.6,3.3,0.0,0.0,0.1,11.2,"Breads, cereals, fastfood,grains"
Corn meal,100,305.1,7.6,3.4,1.7,1.4,62.7,"Breads, cereals, fastfood,grains"
Crackers,100,392.9,7.1,7.1,0.0,0.0,71.4,"Breads, cereals, fastfood,grains"
"Soda, 2 1/2 square",100,409.1,9.1,9.1,0.0,0.0,72.7,"Breads, cereals, fastfood,grains"
Farina,100,44.1,1.3,0.0,0.0,3.4,9.2,"Breads, cereals, fastfood,grains"
Flour,100,418.2,35.5,20.0,0.0,2.6,30.0,"Breads, cereals, fastfood,grains"
Wheat (all purpose),100,363.6,10.9,0.9,0.0,0.3,76.4,"Breads, cereals, fastfood,grains"
Wheat (whole),100,325.0,10.8,1.7,0.0,2.3,65.8,"Breads, cereals, fastfood,grains"
Macaroni,100,110.7,3.6,0.7,0.0,0.1,22.9,"Breads, cereals, fastfood,grains"
Baked with cheese,100,215.9,8.2,11.4,10.9,0.0,20.0,"Breads, cereals, fastfood,grains"
Muffins,100,281.3,8.3,10.4,8.3,0.0,39.6,"Breads, cereals, fastfood,grains"
Noodles,100,125.0,4.4,1.3,1.3,0.1,23.1,"Breads, cereals, fastfood,grains"
Oatmeal,100,63.6,2.1,1.3,0.8,1.9,11.0,"Breads, cereals, fastfood,grains"
"Pancakes 4"" diam.",100,231.5,6.5,8.3,0.0,0.1,25.9,"Breads, cereals, fastfood,grains"
"Wheat, pancakes 4"" diam.",100,231.5,6.5,8.3,0.0,0.1,25.9,"Breads, cereals, fastfood,grains"
"Pizza 14"" diam.",100,240.0,10.7,8.0,6.7,0.0,30.7,"Breads, cereals, fastfood,grains"
Popcorn salted,100,542.9,10.7,25.0,7.1,1.8,71.4,"Breads, cereals, fastfood,grains"
Puffed rice,100,392.9,0.0,0.0,0.0,0.0,85.7,"Breads, cereals, fastfood,grains"
Puffed wheat presweetened,100,375.0,3.6,0.0,0.0,2.1,92.9,"Breads, cereals, fastfood,grains"
Rice,100,359.6,7.2,1.4,0.0,0.6,74.0,"Breads, cereals, fastfood,grains"
Converted,100,362.0,7.5,0.0,0.0,0.2,75.9,"Breads, cereals, fastfood,grains"
White,100,362.3,7.3,0.0,0.0,0.2,78.5,"Breads, cereals, fastfood,grains"
Rice flakes,100,383.3,6.7,0.0,0.0,0.3,86.7,"Breads, cereals, fastfood,grains"
Rice polish,100,264.0,12.0,12.0,0.0,2.4,56.0,"Breads, cereals, fastfood,grains"
Rolls,100,822.0,6.0,24.0,22.0,0.2,46.0,"Breads, cereals, fastfood,grains"
of refined flour,100,302.6,7.9,5.3,5.3,0.0,52.6,"Breads, cereals, fastfood,grains"
whole-wheat,100,255.0,10.0,2.5,0.0,0.3,50.0,"Breads, cereals, fastfood,grains"
Spaghetti with meat sauce,100,114.0,5.2,4.0,2.4,0.2,14.0,"Breads, cereals, fastfood,grains"
with tomatoes and cheese,100,84.0,2.4,2.0,1.2,0.2,14.4,"Breads, cereals, fastfood,grains"
Spanish rice,100,86.8,1.6,1.6,0.0,0.5,16.0,"Breads, cereals, fastfood,grains"
Shredded wheat biscuit,100,357.1,10.7,3.6,0.0,2.5,82.1,"Breads, cereals, fastfood,grains"
Waffles,100,320.0,10.7,12.0,1.3,0.1,40.0,"Breads, cereals, fastfood,grains"
Wheat germ,100,360.3,25.0,10.3,4.4,3.7,50.0,"Breads, cereals, fastfood,grains"
Wheat-germ cereal toasted,100,400.0,30.8,10.8,4.6,3.8,55.4,"Breads, cereals, fastfood,grains"
Wheat meal cereal unrefined,100,343.3,13.3,3.3,0.0,2.3,83.3,"Breads, cereals, fastfood,grains"
"Wheat, cooked",100,137.5,6.0,0.5,0.0,2.2,17.5,"Breads, cereals, fastfood,grains"
Bean soups,100,76.0,3.2,2.0,1.6,0.2,12.0,Soups
Beef soup,100,40.0,2.4,1.6,1.6,0.2,4.4,Soups
Bouillon,100,10.0,2.1,0.0,0.0,0.0,0.0,Soups
chicken soup,100,30.0,1.6,0.8,0.8,0.0,4.0,Soups
Clam chowder,100,33.3,2.0,0.8,3.1,0.2,4.7,Soups
Cream soups,100,78.4,2.7,4.7,4.3,0.5,7.1,Soups
Noodle,100,46.0,2.4,1.6,1.2,0.1,5.2,Soups
Split-pea soup,100,58.8,3.2,1.2,1.2,0.2,10.0,Soups
Tomato soup,100,71.4,2.4,2.9,2.4,0.2,9.0,Soups
Vegetable,100,32.0,1.6,0.8,0.8,0.0,5.6,Soups
Apple betty,100,150.0,1.0,4.0,0.0,0.5,29.0,"Desserts, sweets"
Bread pudding,100,187.0,5.5,6.0,5.5,0.1,28.0,"Desserts, sweets"
Cakes,100,275.0,7.5,0.0,0.0,0.0,57.5,"Desserts, sweets"
Chocolate fudge,100,350.0,4.2,11.7,10.0,0.3,58.3,"Desserts, sweets"
Cupcake,100,320.0,6.0,6.0,4.0,0.0,62.0,"Desserts, sweets"
Fruit cake,100,350.0,6.7,13.3,10.0,0.7,56.7,"Desserts, sweets"
Gingerbread,100,327.3,3.6,12.7,10.9,0.0,50.9,"Desserts, sweets"
"Plain, with no icing",100,327.3,7.3,9.1,7.3,0.0,56.4,"Desserts, sweets"
Sponge cake,100,287.5,7.5,5.0,5.0,0.0,55.0,"Desserts, sweets"
Candy,100,416.0,0.0,12.0,12.0,0.0,76.0,"Desserts, sweets"
Chocolate creams,100,433.3,0.0,13.3,13.3,0.0,80.0,"Desserts, sweets"
Fudge,100,411.1,0.0,13.3,12.2,0.1,88.9,"Desserts, sweets"
Hard candies,100,321.4,0.0,0.0,0.0,0.0,100.0,"Desserts, sweets"
Marshmallows,100,326.7,3.3,0.0,0.0,0.0,76.7,"Desserts, sweets"
Milk chocolate,100,517.9,3.6,10.7,10.7,0.4,78.6,"Desserts, sweets"
Chocolate syrup,100,200.0,0.0,0.0,0.0,0.0,55.0,"Desserts, sweets"
Doughnuts,100,409.1,6.1,21.2,12.1,0.0,51.5,"Desserts, sweets"
"Gelatin, made with water",100,64.9,1.7,0.0,0.0,0.0,15.1,"Desserts, sweets"
Honey,100,285.7,0.0,0.0,0.0,0.0,71.4,"Jams, Jellies"
Ice cream,100,83.3,0.0,0.0,4.0,3.3,0.0,"Desserts, sweets"
Ices,100,78.0,0.0,0.0,0.0,0.0,32.0,"Desserts, sweets"
preserves,100,275.0,0.0,0.0,0.0,0.0,70.0,"Jams, Jellies"
Jellies,100,250.0,0.0,0.0,0.0,0.0,65.0,"Jams, Jellies"
Molasses,100,225.0,0.0,0.0,0.0,40.0,55.0,"Jams, Jellies"
Cane Syrup,100,250.0,0.0,0.0,0.0,0.0,65.0,"Jams, Jellies"
"9"" diam. pie",100,244.4,2.2,9.6,8.1,0.1,39.3,"Desserts, sweets"
Cherry Pie,100,251.9,2.2,9.6,8.1,0.1,40.7,"Desserts, sweets"
Custard,100,203.8,5.4,8.5,7.7,0.0,26.2,"Desserts, sweets"
Lemon meringue,100,250.0,3.3,10.0,8.3,0.1,37.5,"Desserts, sweets"
Mince,100,251.9,2.2,6.7,5.9,0.5,45.9,"Desserts, sweets"
Pumpkin Pie,100,203.8,3.8,9.2,8.5,6.2,26.2,"Desserts, sweets"
Puddings Sugar,100,385.0,0.0,0.0,0.0,0.0,99.5,"Desserts, sweets"
3 teaspoons sugar,100,416.7,0.0,0.0,0.0,0.0,100.0,"Desserts, sweets"
"Brown, firm-packed, dark sugar",100,370.5,0.0,0.0,0.0,0.0,95.5,"Jams, Jellies"
Syrup,100,250.0,0.0,0.0,0.0,0.0,62.5,"Jams, Jellies"
table blends sugar,100,275.0,0.0,0.0,0.0,0.0,72.5,"Jams, Jellies"
Tapioca cream pudding,100,134.0,4.0,4.0,3.6,0.0,16.8,"Desserts, sweets"
Almonds,100,607.1,18.6,54.3,40.0,2.6,18.6,Seeds and Nuts
roasted and salted,100,627.1,18.6,57.1,44.3,2.6,18.6,Seeds and Nuts
Brazil nuts,100,652.9,14.3,67.1,44.3,2.9,10.0,Seeds and Nuts
Cashews,100,560.0,17.1,45.7,40.0,1.3,28.6,Seeds and Nuts
coconut sweetened,100,548.0,2.0,40.0,38.0,4.0,52.0,Seeds and Nuts
Peanut butter,100,600.0,24.0,50.0,34.0,1.8,18.0,Seeds and Nuts
"Peanut butter, natural",100,568.0,26.0,48.0,20.0,1.8,16.0,Seeds and Nuts
Peanuts,100,580.0,26.0,50.0,32.0,2.4,18.0,Seeds and Nuts
Pecans,100,659.6,9.6,67.3,48.1,2.1,13.5,Seeds and Nuts
Sesame seeds,100,560.0,18.0,48.0,26.0,6.2,20.0,Seeds and Nuts
Sunflower seeds,100,560.0,24.0,52.0,14.0,3.8,20.0,Seeds and Nuts
Walnuts,100,650.0,14.0,64.0,14.0,2.0,16.0,Seeds and Nuts
Beer,100,47.5,0.0,0.0,0.0,0.0,1.7,"Drinks,Alcohol, Beverages"
Gin,100,250.0,0.0,0.0,0.0,0.0,0.0,"Drinks,Alcohol, Beverages"
Wines,100,136.7,0.0,0.0,0.0,0.0,7.5,"Drinks,Alcohol, Beverages"
Table (12.2% alcohol),100,83.3,0.0,0.0,0.0,0.0,4.2,"Drinks,Alcohol, Beverages"
Carbonated drinks Artificially sweetened,100,0.0,0.0,0.0,0.0,0.0,0.0,"Drinks,Alcohol, Beverages"
Club soda,100,0.0,0.0,0.0,0.0,0.0,0.0,"Drinks,Alcohol, Beverages"
Cola drinks,100,39.6,0.0,0.0,0.0,0.0,11.0,"Drinks,Alcohol, Beverages"
Fruit-flavored soda,100,46.5,0.0,0.0,0.0,0.0,12.1,"Drinks,Alcohol, Beverages"
Ginger ale,100,30.3,0.0,0.0,0.0,0.0,8.1,"Drinks,Alcohol, Beverages"
Root beer,100,40.5,0.0,0.0,0.0,0.0,10.1,"Drinks,Alcohol, Beverages"
Coffee,100,1.3,0.0,0.0,0.0,0.0,0.4,"Drinks,Alcohol, Beverages"
Tea,100,1.7,0.0,0.0,0.0,0.0,0.4,"Drinks,Alcohol, Beverages"
